Date,Open
05-01-12,43.540001
06-01-12,43.880001
09-01-12,43.689999
10-01-12,44.799999
11-01-12,44.790001
12-01-12,44.25
13-01-12,43.970001
17-01-12,44.950001
18-01-12,44.68
19-01-12,45.400002
20-01-12,45.799999
23-01-12,46.110001
24-01-12,45.880001
25-01-12,45.580002
26-01-12,46.02
27-01-12,45.41
30-01-12,44.43
31-01-12,45.41
01-02-12,45.59
02-02-12,46.299999
03-02-12,46.09
06-02-12,45.43
07-02-12,45.169998
08-02-12,44.799999
09-02-12,44.91
10-02-12,44.549999
13-02-12,44.349998
14-02-12,43.75
15-02-12,44.98
16-02-12,45
17-02-12,44.25
21-02-12,44.48
22-02-12,44.560001
23-02-12,44.09
24-02-12,44.619999
27-02-12,43.959999
28-02-12,44.189999
29-02-12,45.09
01-03-12,45.060001
02-03-12,45.330002
05-03-12,45.200001
06-03-12,44.790001
07-03-12,44.779999
08-03-12,45.049999
09-03-12,44.860001
12-03-12,44.77
13-03-12,44.709999
14-03-12,44.439999
15-03-12,43.75
16-03-12,43.459999
19-03-12,43.189999
20-03-12,43.189999
21-03-12,43.369999
22-03-12,43.049999
23-03-12,43.110001
26-03-12,43.759998
27-03-12,44.209999
28-03-12,44
29-03-12,44.099998
30-03-12,44.400002
02-04-12,45.459999
03-04-12,45.799999
04-04-12,44.919998
05-04-12,44.759998
09-04-12,44.709999
10-04-12,44.380001
11-04-12,44.080002
12-04-12,44.16
13-04-12,44.310001
16-04-12,44.259998
17-04-12,44.919998
18-04-12,45.720001
19-04-12,45.32
20-04-12,45.860001
23-04-12,44.900002
24-04-12,45.349998
25-04-12,45.639999
26-04-12,45.490002
27-04-12,45.400002
30-04-12,45.48
01-05-12,45.75
02-05-12,45.93
03-05-12,45.869999
04-05-12,44.75
07-05-12,44.299999
08-05-12,44.400002
09-05-12,43.220001
10-05-12,42.209999
11-05-12,42
14-05-12,41.349998
15-05-12,40.860001
16-05-12,40.740002
17-05-12,40.360001
18-05-12,38.91
21-05-12,38.98
22-05-12,38.91
23-05-12,38.810001
24-05-12,39.41
25-05-12,38.689999
29-05-12,38.610001
30-05-12,37.810001
31-05-12,39.860001
01-06-12,38.529999
04-06-12,39.25
05-06-12,38.75
06-06-12,39.040001
07-06-12,39.610001
08-06-12,38.869999
11-06-12,39.5
12-06-12,39.27
13-06-12,38.830002
14-06-12,38.369999
15-06-12,37.950001
18-06-12,37.950001
19-06-12,38.029999
20-06-12,37.880001
21-06-12,37.580002
22-06-12,37.98
25-06-12,40.740002
26-06-12,39.740002
27-06-12,39.330002
28-06-12,38.5
29-06-12,39.66
02-07-12,39.400002
03-07-12,39.52
05-07-12,39.82
06-07-12,39.880001
09-07-12,39.349998
10-07-12,39.259998
11-07-12,39.41
12-07-12,39.5
13-07-12,40.119999
16-07-12,40.240002
17-07-12,41.25
18-07-12,42.150002
19-07-12,41.799999
20-07-12,41.849998
23-07-12,40.84
24-07-12,40.459999
25-07-12,40.490002
26-07-12,40.5
27-07-12,40.830002
30-07-12,41.549999
31-07-12,40.450001
01-08-12,40.98
02-08-12,40.169998
03-08-12,40.150002
06-08-12,39.169998
07-08-12,40.490002
08-08-12,40.18
09-08-12,40.25
10-08-12,40.869999
13-08-12,40.57
14-08-12,40.759998
15-08-12,40.419998
16-08-12,40.509998
17-08-12,40.41
20-08-12,40.299999
21-08-12,40.639999
22-08-12,40.389999
23-08-12,40.619999
24-08-12,40.41
27-08-12,40.41
28-08-12,40.25
29-08-12,40.049999
30-08-12,39.799999
31-08-12,39.610001
04-09-12,39.650002
05-09-12,39.549999
06-09-12,39.720001
07-09-12,40.209999
10-09-12,40.619999
11-09-12,40.75
12-09-12,40.610001
13-09-12,40.220001
14-09-12,40.900002
17-09-12,40.57
18-09-12,39.73
19-09-12,40.5
20-09-12,39.970001
21-09-12,40.169998
24-09-12,40
25-09-12,40.299999
26-09-12,40.689999
27-09-12,40.970001
28-09-12,41.200001
01-10-12,41.400002
02-10-12,41.470001
03-10-12,41.310001
04-10-12,40.900002
05-10-12,40.639999
08-10-12,40
09-10-12,40.419998
10-10-12,39.860001
11-10-12,39.990002
12-10-12,39.529999
15-10-12,39.669998
16-10-12,39.43
17-10-12,40.490002
18-10-12,41.049999
19-10-12,41.25
22-10-12,40.950001
23-10-12,40.389999
24-10-12,40.279999
25-10-12,40.93
26-10-12,40.52
31-10-12,40.860001
01-11-12,40.73
02-11-12,41.5
05-11-12,41.549999
06-11-12,40.959999
07-11-12,40.790001
08-11-12,40.84
09-11-12,40.060001
12-11-12,40.25
13-11-12,39.740002
14-11-12,39.720001
15-11-12,38.799999
16-11-12,38.529999
19-11-12,38.669998
20-11-12,38.790001
21-11-12,39.610001
23-11-12,39.400002
26-11-12,39.91
27-11-12,40.029999
28-11-12,40.59
29-11-12,40.599998
30-11-12,39.330002
03-12-12,40.57
04-12-12,40.369999
05-12-12,41.130001
06-12-12,41.360001
07-12-12,41.970001
10-12-12,42.240002
11-12-12,42.52
12-12-12,41.07
13-12-12,39.720001
14-12-12,38.759998
17-12-12,38.110001
18-12-12,38.450001
19-12-12,38.779999
20-12-12,38.110001
21-12-12,37.700001
24-12-12,37.700001
26-12-12,37.639999
27-12-12,37.200001
28-12-12,36.91
31-12-12,36.880001
02-01-13,37.799999
03-01-13,37.07
04-01-13,37.860001
07-01-13,38.049999
08-01-13,38.040001
09-01-13,38.23
10-01-13,38.52
11-01-13,38.759998
14-01-13,38.07
15-01-13,38.16
16-01-13,38.049999
17-01-13,37.98
18-01-13,37.990002
22-01-13,37.700001
23-01-13,37.610001
24-01-13,37.939999
25-01-13,37.610001
28-01-13,37.669998
29-01-13,37.509998
30-01-13,37.23
31-01-13,37.110001
01-02-13,38.290001
04-02-13,37.57
05-02-13,37.830002
06-02-13,37.709999
07-02-13,37.490002
08-02-13,38.299999
11-02-13,38.650002
12-02-13,38.700001
13-02-13,38.919998
14-02-13,38.68
15-02-13,38.869999
19-02-13,38.200001
20-02-13,38.57
21-02-13,38.23
22-02-13,38.220001
25-02-13,37.759998
26-02-13,37.73
27-02-13,37.650002
28-02-13,37.459999
01-03-13,37.400002
04-03-13,37.029999
05-03-13,37.650002
06-03-13,38.41
07-03-13,39.560001
08-03-13,39.75
11-03-13,40.240002
12-03-13,40.060001
13-03-13,40.349998
14-03-13,40.82
15-03-13,41.099998
18-03-13,40.23
19-03-13,40.330002
20-03-13,40.23
21-03-13,40
22-03-13,40.200001
25-03-13,40.099998
26-03-13,40
27-03-13,39.810001
28-03-13,39.490002
01-04-13,39.59
02-04-13,39.650002
03-04-13,39.639999
04-04-13,39.720001
05-04-13,39.25
08-04-13,39.439999
09-04-13,38.73
10-04-13,38.98
11-04-13,39.150002
12-04-13,39.200001
15-04-13,38.959999
16-04-13,38.799999
17-04-13,38.68
18-04-13,38.630001
19-04-13,38.110001
22-04-13,37.91
23-04-13,38.099998
24-04-13,37.939999
25-04-13,38.66
26-04-13,38.330002
29-04-13,38.66
30-04-13,38.900002
01-05-13,38.169998
02-05-13,38
03-05-13,37.900002
06-05-13,38.459999
07-05-13,38.540001
08-05-13,38.360001
09-05-13,38.41
10-05-13,38.830002
13-05-13,38.709999
14-05-13,39.279999
15-05-13,39.669998
16-05-13,39.59
17-05-13,40.119999
20-05-13,40.110001
21-05-13,40.02
22-05-13,39.990002
23-05-13,38.84
24-05-13,39.5
28-05-13,39.639999
29-05-13,39.009998
30-05-13,38.540001
31-05-13,38.849998
03-06-13,38.330002
04-06-13,38.5
05-06-13,38.259998
06-06-13,38.23
07-06-13,39
10-06-13,39.490002
11-06-13,39.630001
12-06-13,39.650002
13-06-13,38.939999
14-06-13,39.34
17-06-13,39.310001
18-06-13,39.34
19-06-13,39.720001
20-06-13,38.740002
21-06-13,38.84
24-06-13,38.630001
25-06-13,38.59
26-06-13,38.580002
27-06-13,38.619999
28-06-13,38.740002
01-07-13,39.220001
02-07-13,39.009998
03-07-13,38.849998
05-07-13,39.029999
08-07-13,38.869999
09-07-13,39.220001
10-07-13,39.119999
11-07-13,38.91
12-07-13,39.099998
15-07-13,39.490002
16-07-13,39.830002
17-07-13,39.509998
18-07-13,39.619999
19-07-13,40.040001
22-07-13,40.029999
23-07-13,40.700001
24-07-13,41.34
25-07-13,41.119999
26-07-13,41.150002
29-07-13,39.990002
30-07-13,39.029999
31-07-13,39.330002
01-08-13,39.240002
02-08-13,39.299999
05-08-13,38.560001
06-08-13,38.380001
07-08-13,38.380001
08-08-13,38.849998
09-08-13,39.16
12-08-13,40.07
13-08-13,39.799999
14-08-13,39.560001
15-08-13,39.630001
16-08-13,40.049999
19-08-13,39.73
20-08-13,39.599998
21-08-13,38.900002
22-08-13,38.380001
23-08-13,38.509998
26-08-13,38.189999
27-08-13,38.23
28-08-13,38.18
29-08-13,38.32
30-08-13,38.369999
03-09-13,38.290001
04-09-13,38.380001
05-09-13,38.5
06-09-13,38.73
09-09-13,38.450001
10-09-13,38.259998
11-09-13,38.049999
12-09-13,38.459999
13-09-13,38.509998
16-09-13,38.27
17-09-13,38
18-09-13,37.59
19-09-13,37.68
20-09-13,37.459999
23-09-13,37.959999
24-09-13,38
25-09-13,38.77
26-09-13,38.220001
27-09-13,37.939999
30-09-13,37.849998
01-10-13,37.84
02-10-13,37.700001
03-10-13,37.77
04-10-13,37.919998
07-10-13,38.459999
08-10-13,38.720001
09-10-13,39.259998
10-10-13,40.349998
11-10-13,40.459999
14-10-13,40.419998
15-10-13,39.810001
16-10-13,39.560001
17-10-13,39.880001
18-10-13,40.189999
21-10-13,39.950001
22-10-13,40.139999
23-10-13,40.32
24-10-13,40.080002
25-10-13,40.400002
28-10-13,41.16
29-10-13,40.849998
30-10-13,37.939999
31-10-13,37.599998
01-11-13,37.32
04-11-13,36.970001
05-11-13,36.27
06-11-13,37.490002
07-11-13,37.040001
08-11-13,37.02
11-11-13,37.25
12-11-13,37.450001
13-11-13,37.720001
14-11-13,38.23
15-11-13,38.279999
18-11-13,38
19-11-13,38.279999
20-11-13,40.07
21-11-13,40.029999
22-11-13,40.029999
25-11-13,40.540001
26-11-13,40.419998
27-11-13,40.68
29-11-13,40.599998
02-12-13,40.68
03-12-13,40.68
04-12-13,40.080002
05-12-13,40.07
06-12-13,40.189999
09-12-13,39.73
10-12-13,40.200001
11-12-13,41.029999
12-12-13,39.98
13-12-13,39.580002
16-12-13,39.799999
17-12-13,39.66
18-12-13,39.860001
19-12-13,39.700001
20-12-13,39.25
23-12-13,39.509998
24-12-13,39.150002
26-12-13,39.639999
27-12-13,39.919998
30-12-13,39.740002
31-12-13,40.029999
02-01-14,40.02
03-01-14,40.27
06-01-14,39.900002
07-01-14,40.400002
08-01-14,41.27
09-01-14,40.970001
10-01-14,41.700001
13-01-14,41.990002
14-01-14,41.450001
15-01-14,43.84
16-01-14,43.84
17-01-14,43.389999
21-01-14,44.599998
22-01-14,45.040001
23-01-14,43.98
24-01-14,43.950001
27-01-14,43.150002
28-01-14,43.990002
29-01-14,45.220001
30-01-14,45.029999
31-01-14,45.09
03-02-14,44.470001
04-02-14,44.349998
05-02-14,44.5
06-02-14,45.43
07-02-14,44.200001
10-02-14,43.43
11-02-14,43.779999
12-02-14,43.950001
13-02-14,43.98
14-02-14,43.900002
18-02-14,45.200001
19-02-14,45.369999
20-02-14,46.470001
21-02-14,48.400002
24-02-14,47.919998
25-02-14,48.07
26-02-14,48.189999
27-02-14,48.32
28-02-14,49.450001
03-03-14,49.09
04-03-14,49.18
05-03-14,49.310001
06-03-14,50.540001
07-03-14,50.490002
10-03-14,49.709999
11-03-14,50
12-03-14,49.220001
13-03-14,48.939999
