Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,36.689999,37.480000,36.450001,37.480000,36.253635,6946200
2017-01-04,38.060001,38.310001,37.580002,37.740002,36.505127,6624700
2017-01-05,37.959999,38.150002,37.290001,37.959999,36.717926,4983700
2017-01-06,36.900002,36.980000,35.000000,35.099998,33.951504,33846500
2017-01-09,35.150002,35.439999,34.930000,35.060001,33.912823,11731200
2017-01-10,35.049999,35.259998,34.599998,35.200001,34.048237,11956900
2017-01-11,35.160000,35.490002,33.560001,34.279999,33.158337,15639600
2017-01-12,34.270000,34.689999,33.930000,33.939999,32.829464,10755500
2017-01-13,34.250000,34.470001,33.860001,33.970001,32.858486,12592100
2017-01-17,34.049999,34.119999,33.619999,33.750000,32.645679,9961500
2017-01-18,33.900002,34.200001,33.730000,34.099998,32.984226,10017900
2017-01-19,33.980000,34.090000,33.459999,33.470001,32.374844,7498400
2017-01-20,33.419998,33.570000,33.160000,33.230000,32.142696,8444300
2017-01-23,33.080002,33.099998,32.110001,32.709999,31.639708,14135000
2017-01-24,32.790001,32.939999,32.340000,32.599998,31.533310,10457300
2017-01-25,32.680000,33.990002,32.619999,33.680000,32.577976,12863700
2017-01-26,33.900002,34.209999,33.580002,33.930000,32.819786,10699100
2017-01-27,34.049999,34.770000,34.009998,34.590000,33.458199,10950900
2017-01-30,34.480000,34.990002,34.200001,34.520000,33.390484,7659700
2017-01-31,32.349998,33.689999,32.189999,33.430000,32.336155,36904000
2017-02-01,34.200001,34.759998,33.709999,34.689999,33.554920,17253400
2017-02-02,34.299999,34.529999,33.950001,34.189999,33.071285,10763700
2017-02-03,34.480000,34.580002,34.009998,34.439999,33.313103,7294100
2017-02-06,34.200001,34.490002,34.009998,34.349998,33.226051,5628700
2017-02-07,33.500000,33.520000,32.080002,32.189999,31.136724,35906700
2017-02-08,32.200001,32.959999,31.900000,32.380001,31.320511,15233600
2017-02-09,32.380001,32.849998,32.189999,32.250000,31.194761,9257600
2017-02-10,32.000000,32.500000,31.920000,32.189999,31.136724,13823800
2017-02-13,33.430000,34.950001,33.250000,34.000000,32.887505,22869900
2017-02-14,33.830002,35.080002,33.650002,34.900002,33.758057,16643200
2017-02-15,34.939999,37.020000,34.919998,36.770000,35.566868,21671000
2017-02-16,36.400002,36.590000,35.520000,35.810001,34.638275,14532800
2017-02-17,35.820000,36.009998,35.169998,35.200001,34.048237,7883800
2017-02-21,37.470001,37.939999,36.099998,36.650002,35.450794,25866500
2017-02-22,36.500000,36.689999,35.959999,35.970001,34.793041,6933500
2017-02-23,35.830002,36.200001,35.669998,35.820000,34.647949,6348800
2017-02-24,35.799999,35.910000,35.270000,35.380001,34.222347,6115400
2017-02-27,35.400002,35.880001,35.220001,35.750000,34.580238,5735100
2017-02-28,35.250000,35.480000,34.860001,35.020000,34.199383,6448700
2017-03-01,35.509998,35.639999,34.919998,35.009998,34.189613,7782300
2017-03-02,34.750000,35.009998,34.660000,34.799999,33.984535,5054300
2017-03-03,34.970001,35.049999,34.470001,34.700001,33.886879,6850600
2017-03-06,34.430000,34.490002,33.310001,33.389999,32.607578,11790100
2017-03-07,33.389999,33.389999,32.549999,33.180000,32.402493,9297700
2017-03-08,33.450001,33.549999,32.700001,32.830002,32.060699,7743100
2017-03-09,32.959999,33.340000,32.779999,32.959999,32.187649,7186400
2017-03-10,33.349998,33.540001,33.070000,33.389999,32.607578,4234300
2017-03-13,33.520000,33.540001,32.919998,33.299999,32.519688,3987000
2017-03-14,33.130001,33.740002,33.070000,33.650002,32.861485,5186200
2017-03-15,33.840000,34.520000,33.799999,34.340000,33.535313,9118200
2017-03-16,34.189999,34.380001,33.650002,33.930000,33.134922,4717700
2017-03-17,33.970001,34.090000,33.639999,33.639999,32.851715,4486600
2017-03-20,33.689999,33.750000,33.389999,33.590000,32.802891,4477400
2017-03-21,33.560001,33.680000,32.349998,32.529999,31.767727,9261800
2017-03-22,32.599998,32.680000,32.160000,32.610001,31.845854,5526300
2017-03-23,32.709999,33.250000,32.650002,32.730000,31.963041,4850900
2017-03-24,32.709999,32.849998,32.340000,32.759998,31.992334,4130400
2017-03-27,32.360001,33.189999,32.259998,33.029999,32.256008,5673200
2017-03-28,33.000000,33.200001,32.790001,32.959999,32.187649,4598200
2017-03-29,32.950001,33.240002,32.840000,33.049999,32.275539,4336800
2017-03-30,33.009998,33.049999,32.630001,32.709999,31.943510,5173500
2017-03-31,32.720001,32.840000,31.980000,32.090000,31.338039,10839900
2017-04-03,32.169998,32.380001,31.980000,32.189999,31.435694,4108100
2017-04-04,32.770000,32.799999,31.950001,32.000000,31.250149,6617600
2017-04-05,32.009998,32.320000,31.900000,31.930000,31.181787,4572000
2017-04-06,32.000000,32.389999,31.910000,32.349998,31.591946,5701900
2017-04-07,32.270000,32.939999,31.969999,32.310001,31.552887,5568400
2017-04-10,32.509998,32.790001,32.360001,32.509998,31.748196,5158700
2017-04-11,32.689999,32.689999,32.110001,32.139999,31.386866,4089000
2017-04-12,32.000000,32.180000,31.900000,32.119999,31.367334,4451200
2017-04-13,32.049999,32.240002,31.930000,32.060001,31.308743,3305300
2017-04-17,32.189999,32.250000,31.959999,32.150002,31.396633,2386800
2017-04-18,31.879999,31.940001,30.860001,30.990000,30.263813,9610400
2017-04-19,31.100000,31.180000,30.639999,30.700001,29.980612,5563200
2017-04-20,30.760000,30.950001,30.570000,30.760000,30.039204,5850700
2017-04-21,30.830000,31.219999,30.799999,31.129999,30.400534,6457300
2017-04-24,31.410000,31.920000,31.400000,31.600000,30.859520,6457300
2017-04-25,31.309999,31.400000,30.219999,30.760000,30.039204,17095300
2017-04-26,30.799999,31.670000,30.799999,31.280001,30.547020,7718200
2017-04-27,31.520000,31.879999,31.280001,31.730000,30.986475,3960800
2017-04-28,31.940001,31.940001,31.299999,31.580000,30.839989,5028900
2017-05-01,31.510000,31.700001,31.280001,31.570000,30.830223,4723400
2017-05-02,31.770000,32.330002,31.320000,32.110001,31.357571,5110200
2017-05-03,31.799999,31.889999,30.660000,30.719999,30.000141,11453600
2017-05-04,30.870001,31.150000,30.680000,30.870001,30.146627,6093400
